code,road_name,bus_description,bus_services,mrt_lrt_station,success,timestamp
67771,Buangkok Dr,Blk 995B,"104, 104",,True,2025-11-10T01:50:39.221464
40509,Tengah Gdn Ave,Opp Blk 131D,"872, 872",,True,2025-11-10T01:50:39.256307
65669,Northshore Dr,Northshore Pr Sch,"104, 104",,True,2025-11-10T01:50:39.770265
02051,Raffles Ave,The Float @ Marina Bay,"36, 36, 56, 56, 77, 77, 97, 97, 97e, 97e, 106, 106, 111, 111, 857, 857, 960, 960, 960e, 960e, 961M, 961M",,True,2025-11-10T01:50:39.846620
67779,Buangkok Dr,Opp Blk 995C,"104, 104",,True,2025-11-10T01:50:47.576959
67791,Buangkok Dr,Opp Blk 415A,"104, 104",,True,2025-11-10T01:50:47.806122
67789,Buangkok Dr,Blk 409A,"104, 104",,True,2025-11-10T01:50:47.817893
67781,Buangkok Dr,Opp Blk 408A,"104, 104",,True,2025-11-10T01:50:47.969267
67799,Buangkok Dr,Blk 415A,"104, 104",,True,2025-11-10T01:50:53.853536
74949,Bedok Resvr Rd,Blk 961A,"5, 5, 18, 18, 21, 21, 28, 28, 46, 46, 59, 59, 65, 65, 67, 67, 69, 69, 168, 168",,True,2025-11-10T01:50:55.355077
74941,Bedok Resvr Rd,Opp Blk 961A,"5, 5, 18, 18, 21, 21, 28, 28, 46, 46, 59, 59, 65, 65, 67, 67, 69, 69, 168, 168",,True,2025-11-10T01:50:55.769305
05649,Keppel Rd,Aft Cantonment Rd,"10, 10, 30, 30, 57, 57, 80, 80, 97, 97, 97e, 97e, 100, 100, 131, 131, 145, 145",,True,2025-11-10T01:50:55.812687
16199,Kent Ridge Cres,Aft Architecture Dr,"95, 95, 96, 96, 151, 151",,True,2025-11-10T01:51:00.276275
43061,Upp Bt Timah Rd,Hillview Stn Exit B,"67, 67, 75, 75, 170, 170, 176, 176, 178, 178, 184, 184, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-11-10T01:51:01.605364
43089,Upp Bt Timah Rd,St. Joseph's Ch (Bt Timah),"67, 67, 75, 75, 170, 170, 176, 176, 178, 178, 184, 184, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-11-10T01:51:03.020463
43081,Upp Bt Timah Rd,Opp St. Joseph's Ch (Bt Timah),"67, 67, 75, 75, 170, 170, 176, 176, 178, 178, 184, 184, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-11-10T01:51:03.298509
43091,Upp Bt Timah Rd,Opp Cashew Stn,"67, 67, 170, 170, 176, 176, 178, 178, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-11-10T01:51:06.612543
43099,Upp Bt Timah Rd,Assumption Eng Sch,"67, 67, 75, 75, 170, 170, 176, 176, 178, 178, 184, 184, 961, 961, 961M, 961M, 963, 963, 970, 970",,True,2025-11-10T01:51:08.962988
57041,Sembawang Rd,Nee Soon Camp,"167, 167, 169, 169, 860, 860, 980, 980",,True,2025-11-10T01:51:10.067990
57049,Sembawang Rd,Opp Nee Soon Camp,"167, 167, 169, 169, 860, 860, 980, 980",,True,2025-11-10T01:51:10.410092
62131,Upp S'goon Rd,S'goon Stn Exit B,"45, 45, 58, 58, 101, 101, 103, 103, 107, 107, 107M, 107M, 147, 147, 153, 153, 317, 317, 853, 853, 853M, 853M",,True,2025-11-10T01:51:13.723272
65011,Punggol Rd,Blk 266/Opp The Rivervale,"80, 80, 82, 82, 87, 87, 88, 88, 89, 89, 89e, 89e, 119, 119, 671, 671, 677, 677",,True,2025-11-10T01:51:16.313633
67569,Sengkang West Way,Bet Blks 430D/433A,"85, 85, 102, 102",,True,2025-11-10T01:51:16.626902
65019,Punggol Rd,Opp Blk 266/The Rivervale,"80, 80, 82, 82, 87, 87, 88, 88, 89, 89, 89e, 89e, 119, 119, 671, 671, 677, 677",,True,2025-11-10T01:51:17.135555
75069,Bedok Resvr Rd,Blk 970A,"5, 5, 18, 18, 21, 21, 28, 28, 46, 46, 59, 59, 65, 65, 67, 67, 69, 69, 168, 168",,True,2025-11-10T01:51:20.773995
77329,Pasir Ris Dr 8,Opp Pasir Ris Mall,"3, 3, 46, 46, 403, 403",,True,2025-11-10T01:51:23.788506
75201,Tampines St 83,Blk 833,"46, 46, 291, 291, 513, 513",,True,2025-11-10T01:51:23.938260
77321,Pasir Ris Dr 8,Pasir Ris Int/Mall,"3, 3, 46, 46, 403, 403",,True,2025-11-10T01:51:24.030790
